178.016 737.285 0
98.1346 183.557 1
792.401 4.0747 1
733.554 871.303 0
552.537 464.943 0
489.596 221.421 1
351.628 18.9326 1
591.686 841.365 0
522.578 758.694 0
197.134 279.365 1
68.0579 332.817 1
27.0601 291.062 1
596.838 975.676 0
81.1373 600.433 0
784.914 135.837 1
642.571 332.351 1
601.431 128.969 1
388.919 143.29 1
802.195 438.149 0
393.41 98.3288 1
980.388 80.6342 1
802.452 752.366 0
601.479 975.07 0
795.556 931.405 0
386.386 22.1119 1
882.505 838.512 0
389.062 164.194 1
873.961 732.126 0
853.514 707.793 0
117.166 309.561 1
131.878 640.292 0
726.275 13.4541 1
267.912 408.271 1
986.824 655.649 0
856.352 31.4078 1
688.177 931.17 0
979.481 713.086 0
263.866 684.632 0
586.343 359.548 1
466.781 408.863 1
594.564 427.84 0
731.229 404.034 0
991.592 589.802 0
359.269 478.24 0
590.382 524.636 0
704.149 560.866 0
212.591 685.383 0
493.259 8.75172 1
156.518 534.081 0
395.807 366.332 1
82.4968 786.301 0
898.882 81.3709 1
238.651 873.892 0
859.172 919.656 0
504.643 352.357 1
459.026 337.69 1
362.858 128.29 1
385.498 719.266 0
936.483 468.615 0
638.778 853.751 0
498.494 764.006 0
771.626 751.51 0
722.771 748.611 0
190.081 895.498 0
382.712 616.955 0
795.735 891.848 0
928.838 578.566 0
892.449 500.051 0
912.075 182.332 1
88.7768 891.557 0
170.576 238.168 1
144.301 665.75 0
465.17 131.958 1
349.346 188.985 1
391.622 981.495 0
181.836 799.763 0
533.614 562.878 0
515.054 17.3304 1
583.078 963.446 0
397.831 401.188 1
350.139 264.189 1
619.458 749.401 0
618.056 14.8473 1
172.726 750.848 0
570.001 218.555 1
130.508 966.613 0
457.962 813.184 0
657.41 32.0538 1
806.022 115.731 1
565.765 531.406 0
518.412 143.155 1
312.522 855.379 0
182.026 943.015 0
833.285 132.723 1
403.42 492.243 0
888.918 658.802 0
110.295 58.162 1
961.298 612.852 0
227.463 850.166 0
342.55 717.027 0
970.135 663.8 0
795.905 472.464 0
59.3346 933.924 0
532.202 354.924 1
235.391 688.141 0
95.5852 790.816 0
427.018 969.982 0
3.4756 454.94 1
565.765 525.64 0
632.057 822.536 0
543.467 925.013 0
18.8659 718.021 0
